"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"201";"34000";"13000";"RETR.BAS.P.LABORAL ESPORTS";"794.354,26";"-82.772,60";"711.581,66";"369.440,98"
"201";"34000";"15000";"PRODUCTIVITAT ESPORTS";"28.116,48";"0,00";"28.116,48";"0,00"
"201";"34000";"15100";"GRATIFICACIONS PERSONAL ESPORTS";"20.953,87";"0,00";"20.953,87";"14.786,56"
"201";"34000";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL ESPORTS";"18.108,36";"82.772,60";"100.880,96";"51.488,81"
"201";"34000";"16000";"QUOTES SOCIALS ESPORTS";"271.085,56";"0,00";"271.085,56";"123.440,11"
"201";"34000";"60910";"COBRIMENT PISTES";"0,00";"45.000,00";"45.000,00";"0,00"
"201";"34100";"22610";"DESPESES ESPORTS";"40.000,00";"14.913,00";"54.913,00";"7.480,86"
"201";"34100";"22611";"ACTIVITATS FISICO ESPORTIVES";"270.000,00";"61.909,82";"331.909,82";"168.307,81"
"201";"34100";"22612";"ACTIVITATS DE CIUTAT";"85.000,00";"35.831,67";"120.831,67";"44.782,25"
"201";"34100";"22614";"DESTINACIÓ TURISME ESPORTIU";"30.000,00";"302,84";"30.302,84";"13.993,45"
"201";"34100";"48000";"TRANSFERÈNCIES ESPORTS";"265.000,00";"130.802,82";"395.802,82";"141.736,89"
"201";"34100";"48100";"GEIEG";"110.000,00";"0,00";"110.000,00";"80.000,00"
"201";"34200";"21200";"INSTAL·LACIONS ESPORTIVES";"300.000,00";"13.592,56";"313.592,56";"144.768,85"
"201";"34200";"22100";"SUBM ENERGIA ELÈCTRICA ESPORTS";"358.750,00";"0,00";"358.750,00";"139.982,55"
"201";"34200";"22102";"SUBM GAS EQUIPAMENTS ESPORTS";"250.000,00";"11.764,89";"261.764,89";"120.305,57"
"201";"34200";"22199";"ALTRES SUBMINISTRAMENTS ESPORTS";"650.000,00";"46.836,49";"696.836,49";"251.684,70"
"201";"34200";"22700";"NETEJA EQUIPAMENTS ESPORTIUS";"476.075,00";"74.470,93";"550.545,93";"245.274,55"
"201";"34200";"60908";"PLA MILLORA EQUIPAMENTS ESPORTIUS";"105.000,00";"120.155,92";"225.155,92";"70.327,09"
"201";"34200";"62500";"MOBILIARI SERVEI D'ESPORTS";"0,00";"1.283,37";"1.283,37";"1.283,36"
"201";"34200";"62600";"INVERSIÓ EQUIPS INFORMÀTICS - ESPORTS";"0,00";"2.197,36";"2.197,36";"1.537,91"
"201";"34220";"21200";"ESTADI MONTILIVI - CONVENI";"140.000,00";"-49.581,77";"90.418,23";"42.664,63"
"201";"34220";"22100";"SUBMINISTRAMENT ENERGIA ELÈCTRICA ESTADI MONTILIVI";"0,00";"60.000,00";"60.000,00";"28.146,02"
"300";"13300";"62100";"APARCAMENTS DISSUASORIS";"75.000,00";"0,00";"75.000,00";"0,00"
"300";"13400";"60901";"CARRIL BICI DE PONT MAJOR A CAMPDORÀ";"0,00";"188.186,91";"188.186,91";"0,00"
"300";"13400";"60900";"CARRIL BICI ENTRE C/NOU I AVINGUDA SANTA EUGÈNIA";"0,00";"242.667,21";"242.667,21";"222.940,97"
"300";"13400";"60942";"CARRIL BICI TORROELLA NESTLE";"0,00";"149.072,04";"149.072,04";"0,00"
"300";"15000";"22612";"DESPESES OFICINA BARRI VELL";"2.095,20";"0,00";"2.095,20";"0,00"
"300";"15000";"22610";"DESPESES URBANISME";"57.460,00";"67.170,01";"124.630,01";"77.982,94"
"300";"15000";"12000";"RETR.BAS.P.FUNCIONARI A1 URBANISME";"44.472,66";"0,00";"44.472,66";"15.235,72"
"300";"15000";"12001";"RETR.BAS.P.FUNCIONARI A2 URBANISME";"13.035,60";"0,00";"13.035,60";"5.757,86"
"300";"15000";"12003";"RETR.BAS.P.FUNCIONARI C1 URBANISME";"39.935,28";"0,00";"39.935,28";"17.058,72"
"300";"15000";"12004";"RETR.BAS.P.FUNCIONARI C2 URBANISME";"0,00";"0,00";"0,00";"0,00"
"300";"15000";"12006";"TRIENNIS P FUNCIONARI URBANISME";"35.567,54";"0,00";"35.567,54";"16.281,90"
"300";"15000";"12009";"ALTRES RETR.BAS.P.FUNCIONARI URBANISME";"26.895,70";"0,00";"26.895,70";"12.318,31"
"300";"15000";"12100";"COMP. DESTINACIÓ FUNCIONARIS URBANISME";"52.935,72";"0,00";"52.935,72";"21.234,73"
"300";"15000";"12101";"COMP. ESPECÍFIC FUNCIONARIS URBANISME";"108.438,50";"-26.352,80";"82.085,70";"42.690,62"
"300";"15000";"13000";"RETR.BAS.P.LABORAL URBANISME I ACTIVITATS";"1.349.852,51";"-63.347,85";"1.286.504,66";"621.606,64"
"300";"15000";"13100";"RETR.P.LABORAL TEMPORAL URBANISIME I ACTIVITATS";"13.346,78";"24.756,05";"38.102,83";"13.948,93"
"300";"15000";"15000";"PRODUCTIVITAT URBANISME";"45.311,88";"0,00";"45.311,88";"0,00"
"300";"15000";"15100";"GRATIFICACIONS PERSONAL URBANISME";"4.430,79";"0,00";"4.430,79";"1.086,15"
"300";"15000";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL URBANISME";"0,00";"89.700,65";"89.700,65";"47.059,13"
"300";"15000";"16000";"QUOTES SOCIALS URBANISME";"476.113,87";"7.693,33";"483.807,20";"208.185,19"
