Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
MERCERIA A LA PETITA;LLANES GIRONA;560;CR;Sant Antoni Maria Claret;14;;N;;;N;;BS;2;1214;485191;4647748;485097;4647543;2,82011326;41,97974794
OFICINA BANCÀRIA;CAIXA DE SABADELL;386;CR;Migdia;14;;N;16;;N;;BS;2;2705;485238;4647453;485144;4647248;2,82068802;41,97709185
VENDA A L'ENGROS D'ELECTRODOMESTICS;ADROHER GERMANS;9;CR;Agudes;3;;N;;;N;;BS;;5392;483742;4647451;483648;4647246;2,80263083;41,97704433
MAGATZEM Vda.A L(ENGROS PROD.PASTISSERIA;COMERCIAL ESTRAGUÉS, S.C.;95;CR;Campcardós;60;;N;;;N;;BS;;5664;483868;4647146;483774;4646941;2,80416008;41,97429989
OFICINA IMMOBILIÀRIA I D'ASSEGURANCES;RUSCASA-CATALANA OCCIDENT;386;CR;Migdia;6;;N;;;N;;BS;3;1326;485266;4647528;485172;4647323;2,8210241;41,97776788
EXPOSICIO I MAG.MATERIALS DE CONSTRUCCIO;SET CERÀMIQUES;566;CT;Sant Feliu;24;;N;0;;N;;;;700;486696;4646682;486602;4646477;2,8383041;41,97017372
SERVEIS DE PERFECCIONAMENT DE L'ESPORT;CENTRE PILFORM;358;CR;Marquès de Caldes de Montbui;82;;N;84;;N;;BS;1;10250;485059;4646469;484965;4646264;2,81855248;41,9682259
FABRICACIÓ DE CAFÈ, ENVASAT DE CAFÈ I ALTRES ESPECIALITATS EN CÀPSULES;NESTLÉ;31;CT;Antiga d'Amer;3;;N;;;N;;BS;;8383;482945;4648640;482851;4648435;2,79297621;41,98773635
DISSENY GRÀFIC I WEB;CREATIUS GIRONA;556;CR;Rutlla;21;;N;;;N;;BS;1;1257;485461;4647502;485367;4647297;2,82337849;41,97753733
TALLER ARTESANAL DE LITOGRAFIA-IMPREMTA-;JU-PER;612;CR;Sèquia;22;;N;;;N;;BS;1;3940;485092;4648127;484998;4647922;2,81890861;41,98315959
BAR;NIHM'S;612;CR;Sèquia;5;;N;;;N;;BS;2;3703;485303;4648155;485209;4647950;2,821455;41,98341575
