"Descripcio";"Nom_comercial";"Codi_carrer";"Codi_via";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"BAR AMB SERVEI DE FLECA";"SANT PAU";"166";"CR";"CREU";"34";"";"N";"";"";"N";"";"BS";"1";"1420";"485146";"4647123";"2,82070952";"41,97596324"
"BAR";"ESCAPA";"9";"CR";"AGUDES";"25";"";"N";"";"";"N";"";"BS";"A";"5245";"483685";"4647067";"2,80307664";"41,97542997"
"BAR";"ALANA";"358";"CR";"MARQUÈS DE CALDES DE MONTBUI";"14";"";"N";"";"";"N";"";"BS";"";"2514";"484683";"4646441";"2,81513882";"41,96981183"
"BAR";"BOCAFÈ";"125";"CR";"CARME";"121";"";"N";"";"";"N";"";"BS";"B";"411";"485451";"4647232";"2,82438822";"41,97695065"
"BAR RESTAURANT (CAT. 3)";"RESTAURANT CAFÈ PAU CASALS";"449";"CR";"PAU CASALS";"34";"";"N";"0";"";"N";"";"";"";"4195";"484409";"4647861";"2,81179427";"41,98259591"
"GIMNAS";"TOP GYM";"556";"CR";"RUTLLA";"226";"";"N";"228";"";"N";"";"BS";"";"2199";"485191";"4646403";"2,82127081";"41,96947929"
"RESTAURANT";"CAL ROS";"161";"CR";"CORT REIAL";"7";"A";"N";"";"";"N";"";"BS";"";"5787";"485509";"4648066";"2,82506774";"41,98446327"
"SUPERMERCAT";"CONDIS";"350";"CR";"JOSEP MALUQUER I SALVADOR";"6";"";"N";"";"";"N";"";"";"";"2694";"485101";"4647221";"2,82016389";"41,97684504"
"DESPATX D'ARQUITECTURA TÈCNICA";"QUADRANT";"280";"CR";"ILLA DE FORMENTERA";"4";"";"N";"";"";"N";"";"BS";"5";"6808";"485405";"4650328";"2,82375608";"42,00483436"
"VENDA DE LLAMINS I ALTRES PRODUCTES SIMI";"BO BO LLAMINS";"671";"CR";"ULTÒNIA";"14";"";"N";"";"";"N";"";"BS";"1";"1337";"485226";"4647397";"2,82166825";"41,97843257"
"RESTAURANT";"CA LA PILAR";"478";"CR";"PONT MAJOR";"124";"";"N";"126";"";"N";"";"BS";"";"7281";"485692";"4651331";"2,82719732";"42,01387326"
"MERCERIA A LA PETITA";"LLANES GIRONA";"560";"RD";"SANT ANTONI MARIA CLARET";"14";"";"N";"";"";"N";"";"BS";"2";"1214";"485097";"4647543";"2,82010744";"41,97974511"
"MAGATZEM Vda.A L(ENGROS PROD.PASTISSERIA";"COMERCIAL ESTRAGUÉS, S.C.";"95";"CR";"CAMPCARDÓS";"60";"";"N";"";"";"N";"";"BS";"";"5664";"483774";"4646942";"2,80415432";"41,97430598"
"OFICINA IMMOBILIÀRIA I D'ASSEGURANCES";"RUSCASA-CATALANA OCCIDENT";"386";"CR";"MIGDIA";"6";"";"N";"";"";"N";"";"BS";"3";"1326";"485172";"4647323";"2,82101830";"41,97776506"
"EXPOSICIO I MAG.MATERIALS DE CONSTRUCCIO";"SET CERÀMIQUES";"566";"CT";"SANT FELIU";"24";"";"N";"0";"";"N";"";"";"";"700";"486605";"4646481";"2,83833447";"41,97020710"
"SERVEIS DE PERFECCIONAMENT DE L'ESPORT";"CENTRE PILFORM";"358";"CR";"MARQUÈS DE CALDES DE MONTBUI";"82";"";"N";"84";"";"N";"";"BS";"1";"10250";"484965";"4646265";"2,81854677";"41,96823209"
"FABRICACIÓ DE CAFÈ, ENVASAT DE CAFÈ I ALTRES ESPECIALITATS EN CÀPSULES";"NESTLÉ";"31";"CT";"ANTIGA D'AMER";"3";"";"N";"";"";"N";"";"BS";"";"8383";"482848";"4648434";"2,79293416";"41,98772427"
"DISSENY GRÀFIC I WEB";"CREATIUS GIRONA";"556";"CR";"RUTLLA";"21";"";"N";"";"";"N";"";"BS";"1";"1257";"485368";"4647298";"2,82338474";"41,97754356"
"TALLER ARTESANAL DE LITOGRAFIA-IMPREMTA-";"JU-PER";"612";"CR";"SÈQUIA";"22";"";"N";"";"";"N";"";"BS";"1";"3940";"484998";"4647923";"2,81890273";"41,98316576"
"BAR";"NIHM'S";"612";"CR";"SÈQUIA";"5";"";"N";"";"";"N";"";"BS";"2";"3703";"485209";"4647949";"2,82144916";"41,98340392"
"CENTRE DE DEPILACIÓ LÀSER";"DEPILASER";"429";"CR";"OBRA";"3";"";"N";"5";"";"N";"";"BS";"";"3715";"485307";"4647984";"2,82263130";"41,98372099"
"EXPOSICIO I VENDA DE MOBLES";"MR. PRICE";"56";"CR";"BARCELONA";"230";"";"N";"";"";"N";"";"";"";"3644";"484008";"4644579";"2,80704288";"41,95302799"
